indikator;tabellinnehåll;månad;Värde
BNP-indikator månad;Konjunkturläge;2000M01;-1.07
BNP-indikator månad;Konjunkturläge;2000M02;-0.84
BNP-indikator månad;Konjunkturläge;2000M03;-0.59
BNP-indikator månad;Konjunkturläge;2000M04;-0.29
BNP-indikator månad;Konjunkturläge;2000M05;0.01
BNP-indikator månad;Konjunkturläge;2000M06;0.26
BNP-indikator månad;Konjunkturläge;2000M07;0.46
BNP-indikator månad;Konjunkturläge;2000M08;0.58
BNP-indikator månad;Konjunkturläge;2000M09;0.64
BNP-indikator månad;Konjunkturläge;2000M10;0.66
BNP-indikator månad;Konjunkturläge;2000M11;0.61
BNP-indikator månad;Konjunkturläge;2000M12;0.51
BNP-indikator månad;Konjunkturläge;2001M01;0.38
BNP-indikator månad;Konjunkturläge;2001M02;0.23
BNP-indikator månad;Konjunkturläge;2001M03;0.07
BNP-indikator månad;Konjunkturläge;2001M04;-0.04
BNP-indikator månad;Konjunkturläge;2001M05;-0.13
BNP-indikator månad;Konjunkturläge;2001M06;-0.21
BNP-indikator månad;Konjunkturläge;2001M07;-0.31
BNP-indikator månad;Konjunkturläge;2001M08;-0.38
BNP-indikator månad;Konjunkturläge;2001M09;-0.4
BNP-indikator månad;Konjunkturläge;2001M10;-0.37
BNP-indikator månad;Konjunkturläge;2001M11;-0.28
BNP-indikator månad;Konjunkturläge;2001M12;-0.2
BNP-indikator månad;Konjunkturläge;2002M01;-0.14
BNP-indikator månad;Konjunkturläge;2002M02;-0.14
BNP-indikator månad;Konjunkturläge;2002M03;-0.19
BNP-indikator månad;Konjunkturläge;2002M04;-0.27
BNP-indikator månad;Konjunkturläge;2002M05;-0.35
BNP-indikator månad;Konjunkturläge;2002M06;-0.41
BNP-indikator månad;Konjunkturläge;2002M07;-0.46
BNP-indikator månad;Konjunkturläge;2002M08;-0.53
BNP-indikator månad;Konjunkturläge;2002M09;-0.59
BNP-indikator månad;Konjunkturläge;2002M10;-0.65
BNP-indikator månad;Konjunkturläge;2002M11;-0.68
BNP-indikator månad;Konjunkturläge;2002M12;-0.67
BNP-indikator månad;Konjunkturläge;2003M01;-0.64
BNP-indikator månad;Konjunkturläge;2003M02;-0.68
BNP-indikator månad;Konjunkturläge;2003M03;-0.8
BNP-indikator månad;Konjunkturläge;2003M04;-0.97
BNP-indikator månad;Konjunkturläge;2003M05;-1.13
BNP-indikator månad;Konjunkturläge;2003M06;-1.2
BNP-indikator månad;Konjunkturläge;2003M07;-1.16
BNP-indikator månad;Konjunkturläge;2003M08;-1.01
BNP-indikator månad;Konjunkturläge;2003M09;-0.88
BNP-indikator månad;Konjunkturläge;2003M10;-0.84
BNP-indikator månad;Konjunkturläge;2003M11;-0.86
BNP-indikator månad;Konjunkturläge;2003M12;-0.93
BNP-indikator månad;Konjunkturläge;2004M01;-0.94
BNP-indikator månad;Konjunkturläge;2004M02;-0.85
BNP-indikator månad;Konjunkturläge;2004M03;-0.66
BNP-indikator månad;Konjunkturläge;2004M04;-0.43
BNP-indikator månad;Konjunkturläge;2004M05;-0.22
BNP-indikator månad;Konjunkturläge;2004M06;-0.08
BNP-indikator månad;Konjunkturläge;2004M07;-0.01
BNP-indikator månad;Konjunkturläge;2004M08;0
BNP-indikator månad;Konjunkturläge;2004M09;0
BNP-indikator månad;Konjunkturläge;2004M10;0.01
BNP-indikator månad;Konjunkturläge;2004M11;0.03
BNP-indikator månad;Konjunkturläge;2004M12;0.04
BNP-indikator månad;Konjunkturläge;2005M01;0.07
BNP-indikator månad;Konjunkturläge;2005M02;0.1
BNP-indikator månad;Konjunkturläge;2005M03;0.12
BNP-indikator månad;Konjunkturläge;2005M04;0.14
BNP-indikator månad;Konjunkturläge;2005M05;0.15
BNP-indikator månad;Konjunkturläge;2005M06;0.14
BNP-indikator månad;Konjunkturläge;2005M07;0.13
BNP-indikator månad;Konjunkturläge;2005M08;0.14
BNP-indikator månad;Konjunkturläge;2005M09;0.2
BNP-indikator månad;Konjunkturläge;2005M10;0.31
BNP-indikator månad;Konjunkturläge;2005M11;0.46
BNP-indikator månad;Konjunkturläge;2005M12;0.62
BNP-indikator månad;Konjunkturläge;2006M01;0.78
BNP-indikator månad;Konjunkturläge;2006M02;0.93
BNP-indikator månad;Konjunkturläge;2006M03;1.07
BNP-indikator månad;Konjunkturläge;2006M04;1.24
BNP-indikator månad;Konjunkturläge;2006M05;1.39
BNP-indikator månad;Konjunkturläge;2006M06;1.51
BNP-indikator månad;Konjunkturläge;2006M07;1.58
BNP-indikator månad;Konjunkturläge;2006M08;1.61
BNP-indikator månad;Konjunkturläge;2006M09;1.62
BNP-indikator månad;Konjunkturläge;2006M10;1.66
BNP-indikator månad;Konjunkturläge;2006M11;1.77
BNP-indikator månad;Konjunkturläge;2006M12;1.92
BNP-indikator månad;Konjunkturläge;2007M01;2.06
BNP-indikator månad;Konjunkturläge;2007M02;2.16
BNP-indikator månad;Konjunkturläge;2007M03;2.24
BNP-indikator månad;Konjunkturläge;2007M04;2.29
BNP-indikator månad;Konjunkturläge;2007M05;2.31
BNP-indikator månad;Konjunkturläge;2007M06;2.34
BNP-indikator månad;Konjunkturläge;2007M07;2.36
BNP-indikator månad;Konjunkturläge;2007M08;2.4
BNP-indikator månad;Konjunkturläge;2007M09;2.47
BNP-indikator månad;Konjunkturläge;2007M10;2.54
BNP-indikator månad;Konjunkturläge;2007M11;2.57
BNP-indikator månad;Konjunkturläge;2007M12;2.55
BNP-indikator månad;Konjunkturläge;2008M01;2.49
BNP-indikator månad;Konjunkturläge;2008M02;2.31
BNP-indikator månad;Konjunkturläge;2008M03;2.04
BNP-indikator månad;Konjunkturläge;2008M04;1.71
BNP-indikator månad;Konjunkturläge;2008M05;1.39
BNP-indikator månad;Konjunkturläge;2008M06;1.1
BNP-indikator månad;Konjunkturläge;2008M07;0.86
BNP-indikator månad;Konjunkturläge;2008M08;0.63
BNP-indikator månad;Konjunkturläge;2008M09;0.41
BNP-indikator månad;Konjunkturläge;2008M10;0.19
BNP-indikator månad;Konjunkturläge;2008M11;-0.03
BNP-indikator månad;Konjunkturläge;2008M12;-0.31
BNP-indikator månad;Konjunkturläge;2009M01;-0.64
BNP-indikator månad;Konjunkturläge;2009M02;-0.99
BNP-indikator månad;Konjunkturläge;2009M03;-1.34
BNP-indikator månad;Konjunkturläge;2009M04;-1.72
BNP-indikator månad;Konjunkturläge;2009M05;-2.09
BNP-indikator månad;Konjunkturläge;2009M06;-2.38
BNP-indikator månad;Konjunkturläge;2009M07;-2.57
BNP-indikator månad;Konjunkturläge;2009M08;-2.67
BNP-indikator månad;Konjunkturläge;2009M09;-2.76
BNP-indikator månad;Konjunkturläge;2009M10;-2.84
BNP-indikator månad;Konjunkturläge;2009M11;-2.85
BNP-indikator månad;Konjunkturläge;2009M12;-2.79
BNP-indikator månad;Konjunkturläge;2010M01;-2.59
BNP-indikator månad;Konjunkturläge;2010M02;-2.21
BNP-indikator månad;Konjunkturläge;2010M03;-1.66
BNP-indikator månad;Konjunkturläge;2010M04;-1.03
BNP-indikator månad;Konjunkturläge;2010M05;-0.45
BNP-indikator månad;Konjunkturläge;2010M06;-0.05
BNP-indikator månad;Konjunkturläge;2010M07;0.19
BNP-indikator månad;Konjunkturläge;2010M08;0.35
BNP-indikator månad;Konjunkturläge;2010M09;0.5
BNP-indikator månad;Konjunkturläge;2010M10;0.66
BNP-indikator månad;Konjunkturläge;2010M11;0.81
BNP-indikator månad;Konjunkturläge;2010M12;0.93
BNP-indikator månad;Konjunkturläge;2011M01;0.99
BNP-indikator månad;Konjunkturläge;2011M02;0.96
BNP-indikator månad;Konjunkturläge;2011M03;0.86
BNP-indikator månad;Konjunkturläge;2011M04;0.75
BNP-indikator månad;Konjunkturläge;2011M05;0.67
BNP-indikator månad;Konjunkturläge;2011M06;0.61
BNP-indikator månad;Konjunkturläge;2011M07;0.51
BNP-indikator månad;Konjunkturläge;2011M08;0.37
BNP-indikator månad;Konjunkturläge;2011M09;0.17
BNP-indikator månad;Konjunkturläge;2011M10;-0.09
BNP-indikator månad;Konjunkturläge;2011M11;-0.32
BNP-indikator månad;Konjunkturläge;2011M12;-0.52
BNP-indikator månad;Konjunkturläge;2012M01;-0.66
BNP-indikator månad;Konjunkturläge;2012M02;-0.75
BNP-indikator månad;Konjunkturläge;2012M03;-0.78
BNP-indikator månad;Konjunkturläge;2012M04;-0.77
BNP-indikator månad;Konjunkturläge;2012M05;-0.72
BNP-indikator månad;Konjunkturläge;2012M06;-0.67
BNP-indikator månad;Konjunkturläge;2012M07;-0.65
BNP-indikator månad;Konjunkturläge;2012M08;-0.69
BNP-indikator månad;Konjunkturläge;2012M09;-0.74
BNP-indikator månad;Konjunkturläge;2012M10;-0.77
BNP-indikator månad;Konjunkturläge;2012M11;-0.83
BNP-indikator månad;Konjunkturläge;2012M12;-0.88
BNP-indikator månad;Konjunkturläge;2013M01;-0.94
BNP-indikator månad;Konjunkturläge;2013M02;-1.06
BNP-indikator månad;Konjunkturläge;2013M03;-1.22
BNP-indikator månad;Konjunkturläge;2013M04;-1.41
BNP-indikator månad;Konjunkturläge;2013M05;-1.57
BNP-indikator månad;Konjunkturläge;2013M06;-1.64
BNP-indikator månad;Konjunkturläge;2013M07;-1.58
BNP-indikator månad;Konjunkturläge;2013M08;-1.47
BNP-indikator månad;Konjunkturläge;2013M09;-1.38
BNP-indikator månad;Konjunkturläge;2013M10;-1.33
BNP-indikator månad;Konjunkturläge;2013M11;-1.29
BNP-indikator månad;Konjunkturläge;2013M12;-1.25
BNP-indikator månad;Konjunkturläge;2014M01;-1.21
BNP-indikator månad;Konjunkturläge;2014M02;-1.13
BNP-indikator månad;Konjunkturläge;2014M03;-1.05
BNP-indikator månad;Konjunkturläge;2014M04;-1
BNP-indikator månad;Konjunkturläge;2014M05;-0.99
BNP-indikator månad;Konjunkturläge;2014M06;-1.01
BNP-indikator månad;Konjunkturläge;2014M07;-1.06
BNP-indikator månad;Konjunkturläge;2014M08;-1.11
BNP-indikator månad;Konjunkturläge;2014M09;-1.13
BNP-indikator månad;Konjunkturläge;2014M10;-1.13
BNP-indikator månad;Konjunkturläge;2014M11;-1.08
BNP-indikator månad;Konjunkturläge;2014M12;-0.97
BNP-indikator månad;Konjunkturläge;2015M01;-0.78
BNP-indikator månad;Konjunkturläge;2015M02;-0.52
BNP-indikator månad;Konjunkturläge;2015M03;-0.24
BNP-indikator månad;Konjunkturläge;2015M04;0.06
BNP-indikator månad;Konjunkturläge;2015M05;0.32
BNP-indikator månad;Konjunkturläge;2015M06;0.52
BNP-indikator månad;Konjunkturläge;2015M07;0.63
BNP-indikator månad;Konjunkturläge;2015M08;0.67
BNP-indikator månad;Konjunkturläge;2015M09;0.63
BNP-indikator månad;Konjunkturläge;2015M10;0.49
BNP-indikator månad;Konjunkturläge;2015M11;0.3
BNP-indikator månad;Konjunkturläge;2015M12;0.1
BNP-indikator månad;Konjunkturläge;2016M01;-0.06
BNP-indikator månad;Konjunkturläge;2016M02;-0.13
BNP-indikator månad;Konjunkturläge;2016M03;-0.09
BNP-indikator månad;Konjunkturläge;2016M04;0.02
BNP-indikator månad;Konjunkturläge;2016M05;0.18
BNP-indikator månad;Konjunkturläge;2016M06;0.32
BNP-indikator månad;Konjunkturläge;2016M07;0.4
BNP-indikator månad;Konjunkturläge;2016M08;0.44
BNP-indikator månad;Konjunkturläge;2016M09;0.48
BNP-indikator månad;Konjunkturläge;2016M10;0.57
BNP-indikator månad;Konjunkturläge;2016M11;0.68
BNP-indikator månad;Konjunkturläge;2016M12;0.76
BNP-indikator månad;Konjunkturläge;2017M01;0.77
BNP-indikator månad;Konjunkturläge;2017M02;0.71
BNP-indikator månad;Konjunkturläge;2017M03;0.55
BNP-indikator månad;Konjunkturläge;2017M04;0.37
BNP-indikator månad;Konjunkturläge;2017M05;0.22
BNP-indikator månad;Konjunkturläge;2017M06;0.13
BNP-indikator månad;Konjunkturläge;2017M07;0.16
BNP-indikator månad;Konjunkturläge;2017M08;0.26
BNP-indikator månad;Konjunkturläge;2017M09;0.39
BNP-indikator månad;Konjunkturläge;2017M10;0.51
BNP-indikator månad;Konjunkturläge;2017M11;0.59
BNP-indikator månad;Konjunkturläge;2017M12;0.59
BNP-indikator månad;Konjunkturläge;2018M01;0.51
BNP-indikator månad;Konjunkturläge;2018M02;0.39
BNP-indikator månad;Konjunkturläge;2018M03;0.26
BNP-indikator månad;Konjunkturläge;2018M04;0.17
BNP-indikator månad;Konjunkturläge;2018M05;0.1
BNP-indikator månad;Konjunkturläge;2018M06;0.07
BNP-indikator månad;Konjunkturläge;2018M07;0.07
BNP-indikator månad;Konjunkturläge;2018M08;0.09
BNP-indikator månad;Konjunkturläge;2018M09;0.12
BNP-indikator månad;Konjunkturläge;2018M10;0.16
BNP-indikator månad;Konjunkturläge;2018M11;0.25
BNP-indikator månad;Konjunkturläge;2018M12;0.42
BNP-indikator månad;Konjunkturläge;2019M01;0.62
BNP-indikator månad;Konjunkturläge;2019M02;0.81
BNP-indikator månad;Konjunkturläge;2019M03;0.94
BNP-indikator månad;Konjunkturläge;2019M04;0.95
BNP-indikator månad;Konjunkturläge;2019M05;0.86
BNP-indikator månad;Konjunkturläge;2019M06;0.75
BNP-indikator månad;Konjunkturläge;2019M07;0.68
BNP-indikator månad;Konjunkturläge;2019M08;0.73
BNP-indikator månad;Konjunkturläge;2019M09;0.9
BNP-indikator månad;Konjunkturläge;2019M10;1.08
BNP-indikator månad;Konjunkturläge;2019M11;1.14
BNP-indikator månad;Konjunkturläge;2019M12;1.01
BNP-indikator månad;Konjunkturläge;2020M01;0.7
BNP-indikator månad;Konjunkturläge;2020M02;0.3
BNP-indikator månad;Konjunkturläge;2020M03;-0.07
BNP-indikator månad;Konjunkturläge;2020M04;-0.33
BNP-indikator månad;Konjunkturläge;2020M05;-0.41
BNP-indikator månad;Konjunkturläge;2020M06;-0.35
BNP-indikator månad;Konjunkturläge;2020M07;-0.24
BNP-indikator månad;Konjunkturläge;2020M08;-0.2
BNP-indikator månad;Konjunkturläge;2020M09;-0.28
BNP-indikator månad;Konjunkturläge;2020M10;-0.4
BNP-indikator månad;Konjunkturläge;2020M11;-0.49
BNP-indikator månad;Konjunkturläge;2020M12;-0.51
BNP-indikator månad;Konjunkturläge;2021M01;-0.41
BNP-indikator månad;Konjunkturläge;2021M02;-0.14
BNP-indikator månad;Konjunkturläge;2021M03;0.25
BNP-indikator månad;Konjunkturläge;2021M04;0.63
BNP-indikator månad;Konjunkturläge;2021M05;0.92
BNP-indikator månad;Konjunkturläge;2021M06;1.05
BNP-indikator månad;Konjunkturläge;2021M07;1.08
BNP-indikator månad;Konjunkturläge;2021M08;1.06
BNP-indikator månad;Konjunkturläge;2021M09;1.01
BNP-indikator månad;Konjunkturläge;2021M10;0.93
BNP-indikator månad;Konjunkturläge;2021M11;0.85
BNP-indikator månad;Konjunkturläge;2021M12;0.85
BNP-indikator månad;Konjunkturläge;2022M01;0.93
BNP-indikator månad;Konjunkturläge;2022M02;1.05
BNP-indikator månad;Konjunkturläge;2022M03;1.17
BNP-indikator månad;Konjunkturläge;2022M04;1.24
BNP-indikator månad;Konjunkturläge;2022M05;1.24
BNP-indikator månad;Konjunkturläge;2022M06;1.06
BNP-indikator månad;Konjunkturläge;2022M07;0.74
BNP-indikator månad;Konjunkturläge;2022M08;0.39
BNP-indikator månad;Konjunkturläge;2022M09;0.17
BNP-indikator månad;Konjunkturläge;2022M10;0.13
BNP-indikator månad;Konjunkturläge;2022M11;0.23
BNP-indikator månad;Konjunkturläge;2022M12;0.34
BNP-indikator månad;Konjunkturläge;2023M01;0.3
BNP-indikator månad;Konjunkturläge;2023M02;0.12
BNP-indikator månad;Konjunkturläge;2023M03;-0.16
BNP-indikator månad;Konjunkturläge;2023M04;-0.39
BNP-indikator månad;Konjunkturläge;2023M05;-0.55
BNP-indikator månad;Konjunkturläge;2023M06;-0.59
BNP-indikator månad;Konjunkturläge;2023M07;-0.58
BNP-indikator månad;Konjunkturläge;2023M08;-0.62
BNP-indikator månad;Konjunkturläge;2023M09;-0.71
BNP-indikator månad;Konjunkturläge;2023M10;-0.8
BNP-indikator månad;Konjunkturläge;2023M11;-0.83
BNP-indikator månad;Konjunkturläge;2023M12;-0.76
BNP-indikator månad;Konjunkturläge;2024M01;-0.66
BNP-indikator månad;Konjunkturläge;2024M02;-0.62
BNP-indikator månad;Konjunkturläge;2024M03;-0.74
BNP-indikator månad;Konjunkturläge;2024M04;-0.96
BNP-indikator månad;Konjunkturläge;2024M05;-1.17
BNP-indikator månad;Konjunkturläge;2024M06;-1.23
BNP-indikator månad;Konjunkturläge;2024M07;-1.08
BNP-indikator månad;Konjunkturläge;2024M08;-0.8
BNP-indikator månad;Konjunkturläge;2024M09;-0.51
BNP-indikator månad;Konjunkturläge;2024M10;-0.35
BNP-indikator månad;Konjunkturläge;2024M11;-0.35
BNP-indikator månad;Konjunkturläge;2024M12;-0.49
BNP-indikator månad;Konjunkturläge;2025M01;-0.67
BNP-indikator månad;Konjunkturläge;2025M02;-0.78
BNP-indikator månad;Konjunkturläge;2025M03;-0.79
BNP-indikator månad;Konjunkturläge;2025M04;-0.7
BNP-indikator månad;Konjunkturläge;2025M05;-0.53
BNP-indikator månad;Konjunkturläge;2025M06;-0.34
BNP-indikator månad;Konjunkturläge;2025M07;-0.17
BNP-indikator månad;Konjunkturläge;2025M08;-0.04
BNP-indikator månad;Konjunkturläge;2025M09;-0.01
BNP-indikator månad;Konjunkturläge;2025M10;-0.06
BNP-indikator månad;Konjunkturläge;2025M11;-0.17
BNP-indikator månad;Konjunkturläge;2025M12;-0.26
BNP-indikator månad;Konjunkturläge;2026M01;-0.24
BNP-indikator månad;Konjunkturläge;2026M02;-0.08
BNP-indikator månad;Konjunkturläge;2026M03;0.19
BNP-indikator månad;Konjunkturläge;2026M04;0.49
BNP-indikator månad;Konjunkturläge;2026M05;0.74
BNP-indikator månad;Konjunkturläge;2026M06;0.88
BNP-indikator månad;Konjunkturläge;2026M07;0.92
BNP-indikator månad;Konjunkturläge;2026M08;
BNP-indikator månad;Förändring från föregående period;2000M01;
BNP-indikator månad;Förändring från föregående period;2000M02;0.22
BNP-indikator månad;Förändring från föregående period;2000M03;0.25
BNP-indikator månad;Förändring från föregående period;2000M04;0.3
BNP-indikator månad;Förändring från föregående period;2000M05;0.3
BNP-indikator månad;Förändring från föregående period;2000M06;0.26
BNP-indikator månad;Förändring från föregående period;2000M07;0.2
BNP-indikator månad;Förändring från föregående period;2000M08;0.12
BNP-indikator månad;Förändring från föregående period;2000M09;0.06
BNP-indikator månad;Förändring från föregående period;2000M10;0.01
BNP-indikator månad;Förändring från föregående period;2000M11;-0.05
BNP-indikator månad;Förändring från föregående period;2000M12;-0.09
BNP-indikator månad;Förändring från föregående period;2001M01;-0.13
BNP-indikator månad;Förändring från föregående period;2001M02;-0.16
BNP-indikator månad;Förändring från föregående period;2001M03;-0.15
BNP-indikator månad;Förändring från föregående period;2001M04;-0.11
BNP-indikator månad;Förändring från föregående period;2001M05;-0.09
BNP-indikator månad;Förändring från föregående period;2001M06;-0.09
BNP-indikator månad;Förändring från föregående period;2001M07;-0.09
BNP-indikator månad;Förändring från föregående period;2001M08;-0.07
BNP-indikator månad;Förändring från föregående period;2001M09;-0.02
BNP-indikator månad;Förändring från föregående period;2001M10;0.03
BNP-indikator månad;Förändring från föregående period;2001M11;0.09
BNP-indikator månad;Förändring från föregående period;2001M12;0.09
BNP-indikator månad;Förändring från föregående period;2002M01;0.05
BNP-indikator månad;Förändring från föregående period;2002M02;0.01
BNP-indikator månad;Förändring från föregående period;2002M03;-0.05
BNP-indikator månad;Förändring från föregående period;2002M04;-0.09
BNP-indikator månad;Förändring från föregående period;2002M05;-0.08
BNP-indikator månad;Förändring från föregående period;2002M06;-0.06
BNP-indikator månad;Förändring från föregående period;2002M07;-0.05
BNP-indikator månad;Förändring från föregående period;2002M08;-0.07
BNP-indikator månad;Förändring från föregående period;2002M09;-0.06
BNP-indikator månad;Förändring från föregående period;2002M10;-0.06
BNP-indikator månad;Förändring från föregående period;2002M11;-0.03
BNP-indikator månad;Förändring från föregående period;2002M12;0.01
BNP-indikator månad;Förändring från föregående period;2003M01;0.03
BNP-indikator månad;Förändring från föregående period;2003M02;-0.04
BNP-indikator månad;Förändring från föregående period;2003M03;-0.11
BNP-indikator månad;Förändring från föregående period;2003M04;-0.18
BNP-indikator månad;Förändring från föregående period;2003M05;-0.15
BNP-indikator månad;Förändring från föregående period;2003M06;-0.07
BNP-indikator månad;Förändring från föregående period;2003M07;0.04
BNP-indikator månad;Förändring från föregående period;2003M08;0.14
BNP-indikator månad;Förändring från föregående period;2003M09;0.13
BNP-indikator månad;Förändring från föregående period;2003M10;0.04
BNP-indikator månad;Förändring från föregående period;2003M11;-0.02
BNP-indikator månad;Förändring från föregående period;2003M12;-0.07
BNP-indikator månad;Förändring från föregående period;2004M01;-0.02
BNP-indikator månad;Förändring från föregående period;2004M02;0.09
BNP-indikator månad;Förändring från föregående period;2004M03;0.19
BNP-indikator månad;Förändring från föregående period;2004M04;0.23
BNP-indikator månad;Förändring från föregående period;2004M05;0.21
BNP-indikator månad;Förändring från föregående period;2004M06;0.14
BNP-indikator månad;Förändring från föregående period;2004M07;0.07
BNP-indikator månad;Förändring från föregående period;2004M08;0.01
BNP-indikator månad;Förändring från föregående period;2004M09;-0.01
BNP-indikator månad;Förändring från föregående period;2004M10;0.01
BNP-indikator månad;Förändring från föregående period;2004M11;0.01
BNP-indikator månad;Förändring från föregående period;2004M12;0.02
BNP-indikator månad;Förändring från föregående period;2005M01;0.03
BNP-indikator månad;Förändring från föregående period;2005M02;0.03
BNP-indikator månad;Förändring från föregående period;2005M03;0.03
BNP-indikator månad;Förändring från föregående period;2005M04;0.02
BNP-indikator månad;Förändring från föregående period;2005M05;0.01
BNP-indikator månad;Förändring från föregående period;2005M06;-0.01
BNP-indikator månad;Förändring från föregående period;2005M07;-0.01
BNP-indikator månad;Förändring från föregående period;2005M08;0.01
BNP-indikator månad;Förändring från föregående period;2005M09;0.06
BNP-indikator månad;Förändring från föregående period;2005M10;0.11
BNP-indikator månad;Förändring från föregående period;2005M11;0.15
BNP-indikator månad;Förändring från föregående period;2005M12;0.17
BNP-indikator månad;Förändring från föregående period;2006M01;0.15
BNP-indikator månad;Förändring från föregående period;2006M02;0.15
BNP-indikator månad;Förändring från föregående period;2006M03;0.14
BNP-indikator månad;Förändring från föregående period;2006M04;0.16
BNP-indikator månad;Förändring från föregående period;2006M05;0.16
BNP-indikator månad;Förändring från föregående period;2006M06;0.12
BNP-indikator månad;Förändring från föregående period;2006M07;0.07
BNP-indikator månad;Förändring från föregående period;2006M08;0.02
BNP-indikator månad;Förändring från föregående period;2006M09;0.01
BNP-indikator månad;Förändring från föregående period;2006M10;0.04
BNP-indikator månad;Förändring från föregående period;2006M11;0.11
BNP-indikator månad;Förändring från föregående period;2006M12;0.15
BNP-indikator månad;Förändring från föregående period;2007M01;0.14
BNP-indikator månad;Förändring från föregående period;2007M02;0.11
BNP-indikator månad;Förändring från föregående period;2007M03;0.07
BNP-indikator månad;Förändring från föregående period;2007M04;0.05
BNP-indikator månad;Förändring från föregående period;2007M05;0.02
BNP-indikator månad;Förändring från föregående period;2007M06;0.03
BNP-indikator månad;Förändring från föregående period;2007M07;0.02
BNP-indikator månad;Förändring från föregående period;2007M08;0.04
BNP-indikator månad;Förändring från föregående period;2007M09;0.07
BNP-indikator månad;Förändring från föregående period;2007M10;0.07
BNP-indikator månad;Förändring från föregående period;2007M11;0.03
BNP-indikator månad;Förändring från föregående period;2007M12;-0.01
BNP-indikator månad;Förändring från föregående period;2008M01;-0.07
BNP-indikator månad;Förändring från föregående period;2008M02;-0.17
BNP-indikator månad;Förändring från föregående period;2008M03;-0.27
BNP-indikator månad;Förändring från föregående period;2008M04;-0.33
BNP-indikator månad;Förändring från föregående period;2008M05;-0.32
BNP-indikator månad;Förändring från föregående period;2008M06;-0.29
BNP-indikator månad;Förändring från föregående period;2008M07;-0.25
BNP-indikator månad;Förändring från föregående period;2008M08;-0.23
BNP-indikator månad;Förändring från föregående period;2008M09;-0.22
BNP-indikator månad;Förändring från föregående period;2008M10;-0.22
BNP-indikator månad;Förändring från föregående period;2008M11;-0.23
BNP-indikator månad;Förändring från föregående period;2008M12;-0.28
BNP-indikator månad;Förändring från föregående period;2009M01;-0.33
BNP-indikator månad;Förändring från föregående period;2009M02;-0.35
BNP-indikator månad;Förändring från föregående period;2009M03;-0.35
BNP-indikator månad;Förändring från föregående period;2009M04;-0.38
BNP-indikator månad;Förändring från föregående period;2009M05;-0.37
BNP-indikator månad;Förändring från föregående period;2009M06;-0.29
BNP-indikator månad;Förändring från föregående period;2009M07;-0.19
BNP-indikator månad;Förändring från föregående period;2009M08;-0.11
BNP-indikator månad;Förändring från föregående period;2009M09;-0.09
BNP-indikator månad;Förändring från föregående period;2009M10;-0.07
BNP-indikator månad;Förändring från föregående period;2009M11;-0.02
BNP-indikator månad;Förändring från föregående period;2009M12;0.06
BNP-indikator månad;Förändring från föregående period;2010M01;0.2
BNP-indikator månad;Förändring från föregående period;2010M02;0.38
BNP-indikator månad;Förändring från föregående period;2010M03;0.56
BNP-indikator månad;Förändring från föregående period;2010M04;0.63
BNP-indikator månad;Förändring från föregående period;2010M05;0.57
BNP-indikator månad;Förändring från föregående period;2010M06;0.4
BNP-indikator månad;Förändring från föregående period;2010M07;0.24
BNP-indikator månad;Förändring från föregående period;2010M08;0.16
BNP-indikator månad;Förändring från föregående period;2010M09;0.15
BNP-indikator månad;Förändring från föregående period;2010M10;0.16
BNP-indikator månad;Förändring från föregående period;2010M11;0.15
BNP-indikator månad;Förändring från föregående period;2010M12;0.13
BNP-indikator månad;Förändring från föregående period;2011M01;0.05
BNP-indikator månad;Förändring från föregående period;2011M02;-0.03
BNP-indikator månad;Förändring från föregående period;2011M03;-0.1
BNP-indikator månad;Förändring från föregående period;2011M04;-0.11
BNP-indikator månad;Förändring från föregående period;2011M05;-0.07
BNP-indikator månad;Förändring från föregående period;2011M06;-0.07
BNP-indikator månad;Förändring från föregående period;2011M07;-0.1
BNP-indikator månad;Förändring från föregående period;2011M08;-0.14
BNP-indikator månad;Förändring från föregående period;2011M09;-0.21
BNP-indikator månad;Förändring från föregående period;2011M10;-0.25
BNP-indikator månad;Förändring från föregående period;2011M11;-0.23
BNP-indikator månad;Förändring från föregående period;2011M12;-0.2
BNP-indikator månad;Förändring från föregående period;2012M01;-0.14
BNP-indikator månad;Förändring från föregående period;2012M02;-0.09
BNP-indikator månad;Förändring från föregående period;2012M03;-0.04
BNP-indikator månad;Förändring från föregående period;2012M04;0.02
BNP-indikator månad;Förändring från föregående period;2012M05;0.05
BNP-indikator månad;Förändring från föregående period;2012M06;0.05
BNP-indikator månad;Förändring från föregående period;2012M07;0.01
BNP-indikator månad;Förändring från föregående period;2012M08;-0.04
BNP-indikator månad;Förändring från föregående period;2012M09;-0.05
BNP-indikator månad;Förändring från föregående period;2012M10;-0.03
BNP-indikator månad;Förändring från föregående period;2012M11;-0.06
BNP-indikator månad;Förändring från föregående period;2012M12;-0.06
BNP-indikator månad;Förändring från föregående period;2013M01;-0.06
BNP-indikator månad;Förändring från föregående period;2013M02;-0.12
BNP-indikator månad;Förändring från föregående period;2013M03;-0.16
BNP-indikator månad;Förändring från föregående period;2013M04;-0.19
BNP-indikator månad;Förändring från föregående period;2013M05;-0.16
BNP-indikator månad;Förändring från föregående period;2013M06;-0.07
BNP-indikator månad;Förändring från föregående period;2013M07;0.06
BNP-indikator månad;Förändring från föregående period;2013M08;0.11
BNP-indikator månad;Förändring från föregående period;2013M09;0.09
