region;kön;tabellinnehåll;år;Värde
Österåker;män;Antal;2021;1.57
Österåker;män;Antal;2022;1.42
Österåker;män;Antal;2023;1.44
Österåker;män;Antal;2024;1.31
Österåker;män;Antal;2025;1.36
Österåker;kvinnor;Antal;2000;1.63
Österåker;kvinnor;Antal;2001;1.73
Österåker;kvinnor;Antal;2002;1.89
Österåker;kvinnor;Antal;2003;2.09
Österåker;kvinnor;Antal;2004;2.17
Österåker;kvinnor;Antal;2005;2.09
Österåker;kvinnor;Antal;2006;2.37
Österåker;kvinnor;Antal;2007;1.97
Österåker;kvinnor;Antal;2008;2.06
Österåker;kvinnor;Antal;2009;2.13
Österåker;kvinnor;Antal;2010;2.35
Österåker;kvinnor;Antal;2011;2.24
Österåker;kvinnor;Antal;2012;2.15
Österåker;kvinnor;Antal;2013;1.85
Österåker;kvinnor;Antal;2014;2.05
Österåker;kvinnor;Antal;2015;1.91
Österåker;kvinnor;Antal;2016;1.98
Österåker;kvinnor;Antal;2017;1.93
Österåker;kvinnor;Antal;2018;1.81
Österåker;kvinnor;Antal;2019;1.76
Österåker;kvinnor;Antal;2020;1.87
Österåker;kvinnor;Antal;2021;1.77
Österåker;kvinnor;Antal;2022;1.59
Österåker;kvinnor;Antal;2023;1.62
Österåker;kvinnor;Antal;2024;1.5
Österåker;kvinnor;Antal;2025;1.52
Värmdö;män;Antal;2000;1.85
Värmdö;män;Antal;2001;1.89
Värmdö;män;Antal;2002;2.12
Värmdö;män;Antal;2003;2.16
Värmdö;män;Antal;2004;2.02
Värmdö;män;Antal;2005;2.04
Värmdö;män;Antal;2006;2.3
Värmdö;män;Antal;2007;2.27
Värmdö;män;Antal;2008;2.14
Värmdö;män;Antal;2009;2.03
Värmdö;män;Antal;2010;2.03
Värmdö;män;Antal;2011;1.88
Värmdö;män;Antal;2012;1.9
Värmdö;män;Antal;2013;1.98
Värmdö;män;Antal;2014;1.93
Värmdö;män;Antal;2015;1.9
Värmdö;män;Antal;2016;2.05
Värmdö;män;Antal;2017;1.75
Värmdö;män;Antal;2018;1.65
Värmdö;män;Antal;2019;1.54
Värmdö;män;Antal;2020;1.64
Värmdö;män;Antal;2021;1.59
Värmdö;män;Antal;2022;1.55
Värmdö;män;Antal;2023;1.33
Värmdö;män;Antal;2024;1.23
Värmdö;män;Antal;2025;1.49
Värmdö;kvinnor;Antal;2000;1.89
Värmdö;kvinnor;Antal;2001;2.01
Värmdö;kvinnor;Antal;2002;2.26
Värmdö;kvinnor;Antal;2003;2.2
Värmdö;kvinnor;Antal;2004;2.17
Värmdö;kvinnor;Antal;2005;2.15
Värmdö;kvinnor;Antal;2006;2.42
Värmdö;kvinnor;Antal;2007;2.51
Värmdö;kvinnor;Antal;2008;2.31
Värmdö;kvinnor;Antal;2009;2.21
Värmdö;kvinnor;Antal;2010;2.2
Värmdö;kvinnor;Antal;2011;2.03
Värmdö;kvinnor;Antal;2012;2.12
Värmdö;kvinnor;Antal;2013;2.1
Värmdö;kvinnor;Antal;2014;2.13
Värmdö;kvinnor;Antal;2015;2.15
Värmdö;kvinnor;Antal;2016;2.2
Värmdö;kvinnor;Antal;2017;1.9
Värmdö;kvinnor;Antal;2018;1.77
Värmdö;kvinnor;Antal;2019;1.63
Värmdö;kvinnor;Antal;2020;1.8
Värmdö;kvinnor;Antal;2021;1.72
Värmdö;kvinnor;Antal;2022;1.66
Värmdö;kvinnor;Antal;2023;1.51
Värmdö;kvinnor;Antal;2024;1.34
Värmdö;kvinnor;Antal;2025;1.63
Järfälla;män;Antal;2000;1.44
Järfälla;män;Antal;2001;1.54
Järfälla;män;Antal;2002;1.49
Järfälla;män;Antal;2003;1.68
Järfälla;män;Antal;2004;1.68
Järfälla;män;Antal;2005;1.66
Järfälla;män;Antal;2006;1.71
Järfälla;män;Antal;2007;1.83
Järfälla;män;Antal;2008;1.75
Järfälla;män;Antal;2009;1.88
Järfälla;män;Antal;2010;1.88
Järfälla;män;Antal;2011;1.74
Järfälla;män;Antal;2012;1.66
Järfälla;män;Antal;2013;1.74
Järfälla;män;Antal;2014;1.69
Järfälla;män;Antal;2015;1.77
Järfälla;män;Antal;2016;1.74
Järfälla;män;Antal;2017;1.58
Järfälla;män;Antal;2018;1.59
Järfälla;män;Antal;2019;1.63
Järfälla;män;Antal;2020;1.46
Järfälla;män;Antal;2021;1.47
Järfälla;män;Antal;2022;1.44
Järfälla;män;Antal;2023;1.22
Järfälla;män;Antal;2024;1.31
Järfälla;män;Antal;2025;1.3
Järfälla;kvinnor;Antal;2000;1.52
Järfälla;kvinnor;Antal;2001;1.63
Järfälla;kvinnor;Antal;2002;1.57
Järfälla;kvinnor;Antal;2003;1.75
Järfälla;kvinnor;Antal;2004;1.78
Järfälla;kvinnor;Antal;2005;1.76
Järfälla;kvinnor;Antal;2006;1.85
Järfälla;kvinnor;Antal;2007;2.01
Järfälla;kvinnor;Antal;2008;1.88
Järfälla;kvinnor;Antal;2009;2.04
Järfälla;kvinnor;Antal;2010;2.07
Järfälla;kvinnor;Antal;2011;1.93
Järfälla;kvinnor;Antal;2012;1.87
Järfälla;kvinnor;Antal;2013;1.94
Järfälla;kvinnor;Antal;2014;1.89
Järfälla;kvinnor;Antal;2015;1.99
Järfälla;kvinnor;Antal;2016;1.9
Järfälla;kvinnor;Antal;2017;1.77
Järfälla;kvinnor;Antal;2018;1.79
Järfälla;kvinnor;Antal;2019;1.86
Järfälla;kvinnor;Antal;2020;1.64
Järfälla;kvinnor;Antal;2021;1.71
Järfälla;kvinnor;Antal;2022;1.67
Järfälla;kvinnor;Antal;2023;1.42
Järfälla;kvinnor;Antal;2024;1.48
Järfälla;kvinnor;Antal;2025;1.4
Ekerö;män;Antal;2000;1.67
Ekerö;män;Antal;2001;2.08
Ekerö;män;Antal;2002;1.93
Ekerö;män;Antal;2003;2.29
Ekerö;män;Antal;2004;2.25
Ekerö;män;Antal;2005;2.15
Ekerö;män;Antal;2006;1.99
Ekerö;män;Antal;2007;2.18
Ekerö;män;Antal;2008;2.23
Ekerö;män;Antal;2009;2.36
Ekerö;män;Antal;2010;2.15
Ekerö;män;Antal;2011;1.9
Ekerö;män;Antal;2012;2.09
Ekerö;män;Antal;2013;2.15
Ekerö;män;Antal;2014;1.91
Ekerö;män;Antal;2015;2.05
Ekerö;män;Antal;2016;1.78
Ekerö;män;Antal;2017;1.77
Ekerö;män;Antal;2018;1.8
Ekerö;män;Antal;2019;1.85
Ekerö;män;Antal;2020;1.47
Ekerö;män;Antal;2021;1.67
Ekerö;män;Antal;2022;1.48
Ekerö;män;Antal;2023;1.31
Ekerö;män;Antal;2024;1.4
Ekerö;män;Antal;2025;1.59
Ekerö;kvinnor;Antal;2000;1.69
Ekerö;kvinnor;Antal;2001;2.06
Ekerö;kvinnor;Antal;2002;1.94
Ekerö;kvinnor;Antal;2003;2.31
Ekerö;kvinnor;Antal;2004;2.2
Ekerö;kvinnor;Antal;2005;2.11
Ekerö;kvinnor;Antal;2006;2.06
Ekerö;kvinnor;Antal;2007;2.36
Ekerö;kvinnor;Antal;2008;2.37
Ekerö;kvinnor;Antal;2009;2.53
Ekerö;kvinnor;Antal;2010;2.3
Ekerö;kvinnor;Antal;2011;1.99
Ekerö;kvinnor;Antal;2012;2.12
Ekerö;kvinnor;Antal;2013;2.35
Ekerö;kvinnor;Antal;2014;2.08
Ekerö;kvinnor;Antal;2015;2.09
Ekerö;kvinnor;Antal;2016;1.9
Ekerö;kvinnor;Antal;2017;1.99
Ekerö;kvinnor;Antal;2018;2.01
Ekerö;kvinnor;Antal;2019;2.03
Ekerö;kvinnor;Antal;2020;1.75
Ekerö;kvinnor;Antal;2021;2
Ekerö;kvinnor;Antal;2022;1.67
Ekerö;kvinnor;Antal;2023;1.41
Ekerö;kvinnor;Antal;2024;1.54
Ekerö;kvinnor;Antal;2025;1.7
Huddinge;män;Antal;2000;1.66
Huddinge;män;Antal;2001;1.72
Huddinge;män;Antal;2002;1.74
Huddinge;män;Antal;2003;1.84
Huddinge;män;Antal;2004;1.77
Huddinge;män;Antal;2005;1.77
Huddinge;män;Antal;2006;1.98
Huddinge;män;Antal;2007;1.85
Huddinge;män;Antal;2008;1.83
Huddinge;män;Antal;2009;1.82
Huddinge;män;Antal;2010;1.94
Huddinge;män;Antal;2011;1.77
Huddinge;män;Antal;2012;1.78
Huddinge;män;Antal;2013;1.84
Huddinge;män;Antal;2014;1.73
Huddinge;män;Antal;2015;1.65
Huddinge;män;Antal;2016;1.65
Huddinge;män;Antal;2017;1.49
Huddinge;män;Antal;2018;1.62
Huddinge;män;Antal;2019;1.47
Huddinge;män;Antal;2020;1.43
Huddinge;män;Antal;2021;1.41
Huddinge;män;Antal;2022;1.31
Huddinge;män;Antal;2023;1.27
Huddinge;män;Antal;2024;1.28
Huddinge;män;Antal;2025;1.34
Huddinge;kvinnor;Antal;2000;1.73
Huddinge;kvinnor;Antal;2001;1.81
Huddinge;kvinnor;Antal;2002;1.81
Huddinge;kvinnor;Antal;2003;1.94
Huddinge;kvinnor;Antal;2004;1.86
Huddinge;kvinnor;Antal;2005;1.91
Huddinge;kvinnor;Antal;2006;2.06
Huddinge;kvinnor;Antal;2007;2.01
Huddinge;kvinnor;Antal;2008;2.04
Huddinge;kvinnor;Antal;2009;2.01
Huddinge;kvinnor;Antal;2010;2.1
Huddinge;kvinnor;Antal;2011;1.95
Huddinge;kvinnor;Antal;2012;1.96
Huddinge;kvinnor;Antal;2013;2.02
Huddinge;kvinnor;Antal;2014;1.9
Huddinge;kvinnor;Antal;2015;1.85
Huddinge;kvinnor;Antal;2016;1.83
Huddinge;kvinnor;Antal;2017;1.66
Huddinge;kvinnor;Antal;2018;1.73
Huddinge;kvinnor;Antal;2019;1.63
Huddinge;kvinnor;Antal;2020;1.61
Huddinge;kvinnor;Antal;2021;1.57
Huddinge;kvinnor;Antal;2022;1.47
Huddinge;kvinnor;Antal;2023;1.37
Huddinge;kvinnor;Antal;2024;1.44
Huddinge;kvinnor;Antal;2025;1.48
Botkyrka;män;Antal;2000;1.7
Botkyrka;män;Antal;2001;1.63
Botkyrka;män;Antal;2002;1.8
Botkyrka;män;Antal;2003;1.92
Botkyrka;män;Antal;2004;1.83
Botkyrka;män;Antal;2005;1.91
Botkyrka;män;Antal;2006;1.88
Botkyrka;män;Antal;2007;1.95
Botkyrka;män;Antal;2008;1.94
Botkyrka;män;Antal;2009;1.89
Botkyrka;män;Antal;2010;2.02
Botkyrka;män;Antal;2011;1.79
Botkyrka;män;Antal;2012;1.86
Botkyrka;män;Antal;2013;1.85
Botkyrka;män;Antal;2014;1.8
Botkyrka;män;Antal;2015;1.77
Botkyrka;män;Antal;2016;1.64
Botkyrka;män;Antal;2017;1.71
Botkyrka;män;Antal;2018;1.63
Botkyrka;män;Antal;2019;1.54
Botkyrka;män;Antal;2020;1.51
Botkyrka;män;Antal;2021;1.47
Botkyrka;män;Antal;2022;1.41
Botkyrka;män;Antal;2023;1.27
Botkyrka;män;Antal;2024;1.27
Botkyrka;män;Antal;2025;1.26
Botkyrka;kvinnor;Antal;2000;1.84
Botkyrka;kvinnor;Antal;2001;1.76
Botkyrka;kvinnor;Antal;2002;1.88
Botkyrka;kvinnor;Antal;2003;2.06
Botkyrka;kvinnor;Antal;2004;1.99
Botkyrka;kvinnor;Antal;2005;2.06
Botkyrka;kvinnor;Antal;2006;1.98
Botkyrka;kvinnor;Antal;2007;2.11
Botkyrka;kvinnor;Antal;2008;2.09
Botkyrka;kvinnor;Antal;2009;2.07
Botkyrka;kvinnor;Antal;2010;2.17
Botkyrka;kvinnor;Antal;2011;2.01
Botkyrka;kvinnor;Antal;2012;2.06
Botkyrka;kvinnor;Antal;2013;2.05
Botkyrka;kvinnor;Antal;2014;1.99
Botkyrka;kvinnor;Antal;2015;1.93
Botkyrka;kvinnor;Antal;2016;1.81
Botkyrka;kvinnor;Antal;2017;1.89
Botkyrka;kvinnor;Antal;2018;1.77
Botkyrka;kvinnor;Antal;2019;1.71
Botkyrka;kvinnor;Antal;2020;1.73
Botkyrka;kvinnor;Antal;2021;1.66
Botkyrka;kvinnor;Antal;2022;1.6
Botkyrka;kvinnor;Antal;2023;1.42
Botkyrka;kvinnor;Antal;2024;1.48
Botkyrka;kvinnor;Antal;2025;1.43
Salem;män;Antal;2000;1.84
Salem;män;Antal;2001;1.78
Salem;män;Antal;2002;1.73
Salem;män;Antal;2003;1.82
Salem;män;Antal;2004;1.62
Salem;män;Antal;2005;1.78
Salem;män;Antal;2006;2.02
Salem;män;Antal;2007;1.87
Salem;män;Antal;2008;2.25
Salem;män;Antal;2009;1.95
Salem;män;Antal;2010;1.86
Salem;män;Antal;2011;1.91
Salem;män;Antal;2012;1.8
Salem;män;Antal;2013;1.96
Salem;män;Antal;2014;1.8
Salem;män;Antal;2015;1.76
Salem;män;Antal;2016;1.85
Salem;män;Antal;2017;1.66
Salem;män;Antal;2018;1.98
Salem;män;Antal;2019;1.69
Salem;män;Antal;2020;1.66
Salem;män;Antal;2021;1.66
Salem;män;Antal;2022;1.52
Salem;män;Antal;2023;1.67
Salem;män;Antal;2024;1.52
Salem;män;Antal;2025;1.54
Salem;kvinnor;Antal;2000;1.89
Salem;kvinnor;Antal;2001;1.79
Salem;kvinnor;Antal;2002;1.79
Salem;kvinnor;Antal;2003;1.98
Salem;kvinnor;Antal;2004;1.8
Salem;kvinnor;Antal;2005;1.92
Salem;kvinnor;Antal;2006;2.25
Salem;kvinnor;Antal;2007;2.03
Salem;kvinnor;Antal;2008;2.45
Salem;kvinnor;Antal;2009;2.01
Salem;kvinnor;Antal;2010;2.04
Salem;kvinnor;Antal;2011;2.09
Salem;kvinnor;Antal;2012;2.11
Salem;kvinnor;Antal;2013;2.11
Salem;kvinnor;Antal;2014;1.87
Salem;kvinnor;Antal;2015;1.86
Salem;kvinnor;Antal;2016;1.88
Salem;kvinnor;Antal;2017;1.76
Salem;kvinnor;Antal;2018;2.18
Salem;kvinnor;Antal;2019;1.79
Salem;kvinnor;Antal;2020;1.74
Salem;kvinnor;Antal;2021;1.65
Salem;kvinnor;Antal;2022;1.6
Salem;kvinnor;Antal;2023;1.77
Salem;kvinnor;Antal;2024;1.64
Salem;kvinnor;Antal;2025;1.66
Haninge;män;Antal;2000;1.45
Haninge;män;Antal;2001;1.54
Haninge;män;Antal;2002;1.6
Haninge;män;Antal;2003;1.66
Haninge;män;Antal;2004;1.67
Haninge;män;Antal;2005;1.72
Haninge;män;Antal;2006;1.81
Haninge;män;Antal;2007;1.86
Haninge;män;Antal;2008;1.86
Haninge;män;Antal;2009;1.87
Haninge;män;Antal;2010;1.89
Haninge;män;Antal;2011;1.73
Haninge;män;Antal;2012;1.69
Haninge;män;Antal;2013;1.69
Haninge;män;Antal;2014;1.69
Haninge;män;Antal;2015;1.66
Haninge;män;Antal;2016;1.69
Haninge;män;Antal;2017;1.61
Haninge;män;Antal;2018;1.71
Haninge;män;Antal;2019;1.64
Haninge;män;Antal;2020;1.61
Haninge;män;Antal;2021;1.48
Haninge;män;Antal;2022;1.44
Haninge;män;Antal;2023;1.35
Haninge;män;Antal;2024;1.29
Haninge;män;Antal;2025;1.29
Haninge;kvinnor;Antal;2000;1.55
Haninge;kvinnor;Antal;2001;1.68
Haninge;kvinnor;Antal;2002;1.71
Haninge;kvinnor;Antal;2003;1.82
Haninge;kvinnor;Antal;2004;1.81
Haninge;kvinnor;Antal;2005;1.88
Haninge;kvinnor;Antal;2006;2.01
Haninge;kvinnor;Antal;2007;2.04
Haninge;kvinnor;Antal;2008;2.06
Haninge;kvinnor;Antal;2009;2.04
Haninge;kvinnor;Antal;2010;2.09
Haninge;kvinnor;Antal;2011;1.96
Haninge;kvinnor;Antal;2012;1.86
Haninge;kvinnor;Antal;2013;1.91
Haninge;kvinnor;Antal;2014;1.89
Haninge;kvinnor;Antal;2015;1.82
Haninge;kvinnor;Antal;2016;1.87
Haninge;kvinnor;Antal;2017;1.78
Haninge;kvinnor;Antal;2018;1.91
Haninge;kvinnor;Antal;2019;1.83
Haninge;kvinnor;Antal;2020;1.77
Haninge;kvinnor;Antal;2021;1.68
Haninge;kvinnor;Antal;2022;1.59
Haninge;kvinnor;Antal;2023;1.48
Haninge;kvinnor;Antal;2024;1.51
Haninge;kvinnor;Antal;2025;1.47
Tyresö;män;Antal;2000;1.68
Tyresö;män;Antal;2001;1.63
Tyresö;män;Antal;2002;1.71
Tyresö;män;Antal;2003;1.8
Tyresö;män;Antal;2004;1.79
Tyresö;män;Antal;2005;1.79
Tyresö;män;Antal;2006;1.86
Tyresö;män;Antal;2007;2.05
Tyresö;män;Antal;2008;1.89
Tyresö;män;Antal;2009;2
Tyresö;män;Antal;2010;1.86
Tyresö;män;Antal;2011;1.67
Tyresö;män;Antal;2012;1.62
Tyresö;män;Antal;2013;1.74
Tyresö;män;Antal;2014;1.86
Tyresö;män;Antal;2015;1.63
Tyresö;män;Antal;2016;1.75
Tyresö;män;Antal;2017;1.61
Tyresö;män;Antal;2018;1.56
Tyresö;män;Antal;2019;1.42
Tyresö;män;Antal;2020;1.48
Tyresö;män;Antal;2021;1.55
Tyresö;män;Antal;2022;1.28
Tyresö;män;Antal;2023;1.37
Tyresö;män;Antal;2024;1.26
Tyresö;män;Antal;2025;1.34
Tyresö;kvinnor;Antal;2000;1.77
Tyresö;kvinnor;Antal;2001;1.74
Tyresö;kvinnor;Antal;2002;1.88
Tyresö;kvinnor;Antal;2003;1.94
Tyresö;kvinnor;Antal;2004;1.94
Tyresö;kvinnor;Antal;2005;1.96
Tyresö;kvinnor;Antal;2006;2.02
Tyresö;kvinnor;Antal;2007;2.2
Tyresö;kvinnor;Antal;2008;2.13
Tyresö;kvinnor;Antal;2009;2.25
Tyresö;kvinnor;Antal;2010;2.15
Tyresö;kvinnor;Antal;2011;1.9
Tyresö;kvinnor;Antal;2012;1.81
Tyresö;kvinnor;Antal;2013;1.99
Tyresö;kvinnor;Antal;2014;2.04
Tyresö;kvinnor;Antal;2015;1.83
Tyresö;kvinnor;Antal;2016;1.93
Tyresö;kvinnor;Antal;2017;1.8
Tyresö;kvinnor;Antal;2018;1.76
Tyresö;kvinnor;Antal;2019;1.63
Tyresö;kvinnor;Antal;2020;1.66
Tyresö;kvinnor;Antal;2021;1.69
Tyresö;kvinnor;Antal;2022;1.46
Tyresö;kvinnor;Antal;2023;1.51
Tyresö;kvinnor;Antal;2024;1.45
Tyresö;kvinnor;Antal;2025;1.54
Upplands-Bro;män;Antal;2000;1.58
Upplands-Bro;män;Antal;2001;1.71
Upplands-Bro;män;Antal;2002;1.69
Upplands-Bro;män;Antal;2003;1.8
Upplands-Bro;män;Antal;2004;1.74
Upplands-Bro;män;Antal;2005;1.73
Upplands-Bro;män;Antal;2006;1.8
Upplands-Bro;män;Antal;2007;1.95
Upplands-Bro;män;Antal;2008;1.85
Upplands-Bro;män;Antal;2009;1.91
Upplands-Bro;män;Antal;2010;1.95
Upplands-Bro;män;Antal;2011;1.98
Upplands-Bro;män;Antal;2012;1.96
Upplands-Bro;män;Antal;2013;1.8
Upplands-Bro;män;Antal;2014;1.82
Upplands-Bro;män;Antal;2015;1.98
Upplands-Bro;män;Antal;2016;1.75
Upplands-Bro;män;Antal;2017;1.56
Upplands-Bro;män;Antal;2018;1.95
Upplands-Bro;män;Antal;2019;1.63
Upplands-Bro;män;Antal;2020;1.62
Upplands-Bro;män;Antal;2021;1.62
Upplands-Bro;män;Antal;2022;1.33
Upplands-Bro;män;Antal;2023;1.49
Upplands-Bro;män;Antal;2024;1.36
Upplands-Bro;män;Antal;2025;1.51
Upplands-Bro;kvinnor;Antal;2000;1.65
Upplands-Bro;kvinnor;Antal;2001;1.8
Upplands-Bro;kvinnor;Antal;2002;1.74
Upplands-Bro;kvinnor;Antal;2003;1.87
Upplands-Bro;kvinnor;Antal;2004;1.86
Upplands-Bro;kvinnor;Antal;2005;1.92
Upplands-Bro;kvinnor;Antal;2006;2
Upplands-Bro;kvinnor;Antal;2007;2.07
Upplands-Bro;kvinnor;Antal;2008;1.96
Upplands-Bro;kvinnor;Antal;2009;2.16
Upplands-Bro;kvinnor;Antal;2010;2.15
Upplands-Bro;kvinnor;Antal;2011;2.11
Upplands-Bro;kvinnor;Antal;2012;2.17
Upplands-Bro;kvinnor;Antal;2013;1.98
Upplands-Bro;kvinnor;Antal;2014;1.96
Upplands-Bro;kvinnor;Antal;2015;2.18
Upplands-Bro;kvinnor;Antal;2016;2.02
Upplands-Bro;kvinnor;Antal;2017;1.75
Upplands-Bro;kvinnor;Antal;2018;2.21
Upplands-Bro;kvinnor;Antal;2019;1.85
Upplands-Bro;kvinnor;Antal;2020;1.87
Upplands-Bro;kvinnor;Antal;2021;1.88
